COUNTRY,YEAR,MONTH,TEMP_MEAN,HEAT_DAYS
Greece,2007,6,29.285333333333327,14.0
Greece,2007,7,30.91096774193548,4.0
Greece,2007,8,30.830322580645166,6.0
Greece,2007,9,26.86433333333334,4.0
Greece,2007,10,22.31064516129033,2.0
Greece,2007,11,17.399,2.0
Greece,2007,12,13.106129032258067,0.0
Greece,2008,1,12.249677419354839,0.0
Greece,2008,2,12.622758620689655,3.0
Greece,2008,3,16.718064516129033,5.0
Greece,2008,4,18.165333333333333,2.0
Greece,2008,5,22.733225806451614,6.0
Greece,2008,6,27.613999999999994,2.0
Greece,2008,7,30.11709677419355,2.0
Greece,2008,8,30.322258064516134,3.0
Greece,2008,9,26.080333333333332,8.0
Greece,2008,10,22.332580645161293,2.0
Greece,2008,11,18.91233333333333,5.0
Greece,2008,12,14.495806451612903,7.0
Greece,2009,1,13.766774193548388,6.0
Greece,2009,2,11.9975,5.0
Greece,2009,3,14.585483870967744,0.0
Greece,2009,4,17.363999999999997,0.0
Greece,2009,5,22.924516129032256,3.0
Greece,2009,6,27.430333333333337,0.0
Greece,2009,7,30.473225806451616,5.0
Greece,2009,8,29.11612903225806,0.0
Greece,2009,9,25.578333333333333,3.0
Greece,2009,10,22.768709677419356,2.0
Greece,2009,11,19.046,2.0
Greece,2009,12,16.07290322580645,2.0
Greece,2010,1,12.893225806451614,6.0
Greece,2010,2,14.831428571428573,9.0
Greece,2010,3,15.75451612903226,0.0
Greece,2010,4,18.670333333333335,0.0
Greece,2010,5,23.669354838709683,5.0
Greece,2010,6,27.169666666666668,4.0
Greece,2010,7,30.368709677419357,4.0
Greece,2010,8,31.966129032258074,17.0
Greece,2010,9,27.447,4.0
Greece,2010,10,21.446129032258064,0.0
Greece,2010,11,20.260999999999992,7.0
Greece,2010,12,15.75516129032258,12.0
Greece,2011,1,13.104838709677425,0.0
Greece,2011,2,13.247142857142856,5.0
Greece,2011,3,13.85225806451613,0.0
Greece,2011,4,16.422333333333338,0.0
Greece,2011,5,21.02064516129032,0.0
Greece,2011,6,26.753666666666668,0.0
Greece,2011,7,30.756774193548377,4.0
Greece,2011,8,29.863548387096778,0.0
Greece,2011,9,28.237333333333325,13.0
Greece,2011,10,20.36032258064516,0.0
Greece,2011,11,15.153666666666668,0.0
Greece,2011,12,14.92677419354839,8.0
Greece,2012,1,10.814193548387095,0.0
Greece,2012,2,12.059310344827587,0.0
Greece,2012,3,15.02258064516129,5.0
Greece,2012,4,19.033,5.0
Greece,2012,5,23.36064516129032,0.0
Greece,2012,6,28.429333333333336,3.0
Greece,2012,7,31.801290322580638,14.0
Greece,2012,8,31.357096774193547,12.0
Greece,2012,9,28.044666666666668,7.0
Greece,2012,10,24.909032258064517,13.0
Greece,2012,11,19.689,7.0
Greece,2012,12,14.745806451612905,5.0
Greece,2013,1,13.761290322580644,3.0
Greece,2013,2,14.007499999999999,7.0
Greece,2013,3,15.517096774193547,2.0
Greece,2013,4,18.991333333333333,6.0
Greece,2013,5,24.35032258064516,5.0
Greece,2013,6,27.411666666666665,2.0
